Year,Main Stream,Youngs Bay,Blind Slough,Tongue Point,Deep River
2003,0,4947,2029,345,0
2004,0,5611,3240,0,0
2005,0,730,1331,0,60
2006,4350,4730,1252,0,28
2007,2756,4070,1451,0,29
2008,5938,1937,953,259,28
2009,4150,1985,706,133,82
2010,9024,18755,2680,727,175
2011,4448,6851,1487,656,81
2012,6141,6006,916,500,38
2013,2226,4279,779,304,53
2014,4117,1953,295,39,26
2015,7235,6712,3001,1192,110
2016,3613,3794,2477,997,8
2017,0,7346,1964,1952,13
2018,0,4796,1532,1327,0
2019,0,1418,367,386,0
2020,0,1419,262,257,0
